sample_id,role,concentration,replicate_id,signal
CAL_0000,CAL,0,1,3.0782
CAL_0000,CAL,0,2,2.7226
CAL_0000,CAL,0,3,3.1627
CAL_0000,CAL,0,4,3.6529
CAL_0000,CAL,0,5,2.6689
CAL_00001,CAL,0.1,1,2.6776
CAL_00001,CAL,0.1,2,3.6093
CAL_00001,CAL,0.1,3,3.1922
CAL_00001,CAL,0.1,4,2.5567
CAL_00001,CAL,0.1,5,3.0767
CAL_00003,CAL,0.3,1,2.5871
CAL_00003,CAL,0.3,2,2.5861
CAL_00003,CAL,0.3,3,2.8992
CAL_00003,CAL,0.3,4,1.9456
CAL_00003,CAL,0.3,5,2.029
CAL_0001,CAL,1,1,2.596
CAL_0001,CAL,1,2,2.4589
CAL_0001,CAL,1,3,2.8628
CAL_0001,CAL,1,4,2.4908
CAL_0001,CAL,1,5,2.3373
CAL_0003,CAL,3,1,2.9365
CAL_0003,CAL,3,2,2.6418
CAL_0003,CAL,3,3,2.6929
CAL_0003,CAL,3,4,2.4328
CAL_0003,CAL,3,5,2.5862
CAL_0010,CAL,10,1,2.3667
CAL_0010,CAL,10,2,2.2585
CAL_0010,CAL,10,3,2.3894
CAL_0010,CAL,10,4,2.3057
CAL_0010,CAL,10,5,2.3322
CAL_0030,CAL,30,1,1.622
CAL_0030,CAL,30,2,1.7263
CAL_0030,CAL,30,3,1.647
CAL_0030,CAL,30,4,1.6026
CAL_0030,CAL,30,5,1.6825
CAL_0100,CAL,100,1,0.6955
CAL_0100,CAL,100,2,0.7178
CAL_0100,CAL,100,3,0.684
CAL_0100,CAL,100,4,0.6938
CAL_0100,CAL,100,5,0.7176
CAL_0300,CAL,300,1,0.2512
CAL_0300,CAL,300,2,0.2483
CAL_0300,CAL,300,3,0.2469
CAL_0300,CAL,300,4,0.2459
CAL_0300,CAL,300,5,0.2399
CAL_1000,CAL,1000,1,0.0761
CAL_1000,CAL,1000,2,0.0765
CAL_1000,CAL,1000,3,0.0789
CAL_1000,CAL,1000,4,0.0777
CAL_1000,CAL,1000,5,0.0745
CAL_3000,CAL,3000,1,0.0358
CAL_3000,CAL,3000,2,0.0353
CAL_3000,CAL,3000,3,0.0351
CAL_3000,CAL,3000,4,0.036
CAL_3000,CAL,3000,5,0.0363
CAL_6000,CAL,6000,1,0.0273
CAL_6000,CAL,6000,2,0.0263
CAL_6000,CAL,6000,3,0.0266
CAL_6000,CAL,6000,4,0.027
CAL_6000,CAL,6000,5,0.035
S1,UNK,,1,2.7282
S1,UNK,,2,2.7692
S1,UNK,,3,2.6406
S1,UNK,,4,2.628
S1,UNK,,5,2.9087
S2,UNK,,1,2.9105
S2,UNK,,2,2.7159
S2,UNK,,3,2.8625
S2,UNK,,4,2.775
S2,UNK,,5,2.6378
S3,UNK,,1,2.4923
S3,UNK,,2,2.6363
S3,UNK,,3,2.4437
S3,UNK,,4,2.6396
S3,UNK,,5,2.1274
S4,UNK,,1,1.8656
S4,UNK,,2,1.7997
S4,UNK,,3,1.7651
S4,UNK,,4,1.8001
S4,UNK,,5,1.6138
S5,UNK,,1,0.8536
S5,UNK,,2,0.8785
S5,UNK,,3,0.9269
S5,UNK,,4,0.8407
S5,UNK,,5,0.8282
S6,UNK,,1,0.2412
S6,UNK,,2,0.2588
S6,UNK,,3,0.2515
S6,UNK,,4,0.2409
S6,UNK,,5,0.2538
S7,UNK,,1,0.0665
S7,UNK,,2,0.0694
S7,UNK,,3,0.0638
S7,UNK,,4,0.0651
S7,UNK,,5,0.0649
S8,UNK,,1,0.0264
S8,UNK,,2,0.0289
S8,UNK,,3,0.0288
S8,UNK,,4,0.0284
S8,UNK,,5,0.0281
